roi,background,baseline,threshold,peak,peak_location,FWHM,rise_time,fall_time,energy,fwhm_left_index,fwhm_right_index,threshold_left_index,threshold_right_index
1,141,94.767868852459,1.1,3.79005819223504,50,39.02476430504629,1.9798714952748924,549.0,909.0887137509429,48.328160228770585,87.35292453381687,48.02012850472511,599.0
2,141,91.40238450074517,1.1,5.210896610197127,50,263.7911669056409,1.9804254634656644,549.0,1526.824835727446,48.39087244138816,312.1820393470291,48.019574536534336,599.0
3,141,87.26109911207104,1.1,4.665598693130409,50,496.83152444241335,13.402958735157128,549.0,1610.6746549253749,48.372766727788935,545.2042911702023,36.59704126484287,599.0
4,141,99.6499558303887,1.1,3.6434870294648887,50,55.250718320900646,1.9746887901914434,549.0,915.5610008532517,48.59119090315134,103.84190922405199,48.02531120980856,599.0
5,142,112.85920351207275,1.1,4.614112495415495,49,166.60721342634434,1.0,550.0,1229.1219089322826,49.0,215.60721342634434,49.0,599.0
6,141,62.056130133547555,1.1,2.97856693262483,50,125.19769756735236,1.965330306971687,549.0,820.1174595520833,48.26191488216175,173.4596124495141,48.03466969302831,599.0
7,141,91.07008980866848,1.1,3.4070222376575967,50,49.8392268772967,1.9733590590771684,549.0,876.1128668849058,48.39854272160051,98.23776959889722,48.02664094092283,599.0
8,145,106.66706985182944,1.1,5.228301790513341,51,118.54750411551541,24.577617766981863,548.0,1480.2065156995932,48.36359660374948,166.91110071926488,26.422382233018137,599.0
9,142,62.489314054817214,1.1,3.1583087473989013,49,465.00406068087386,17.414838965190448,550.0,1037.6138729332424,49.0,514.0040606808739,31.585161034809552,599.0
10,142,137.87307588441803,1.1,4.599798450280486,49,17.771855052898843,12.342153932901013,146.18508186477098,249.35068867717575,49.0,66.77185505289884,36.65784606709899,195.18508186477098
11,141,58.09904576780349,1.1,3.582591835027716,50,349.79469652009084,37.03292232250727,549.0,1156.9707724711627,48.21959395745653,398.0142904775474,12.967077677492734,599.0
12,141,52.73709179170345,1.1,3.057781338845084,50,550.8085247993831,48.02700738941604,549.0,1250.56885539812,48.1914752006169,599.0,1.9729926105839617,599.0
13,142,98.1764705882353,1.1,2.430796884361893,49,205.22836346560229,1.0,408.1951042564079,642.7064110245656,49.0,254.22836346560229,49.0,457.1951042564079
14,142,60.5,1.1,3.8135904499540865,49,149.52347342167323,47.2635593220339,455.8403493295696,951.6758494031221,49.0,198.52347342167323,1.736440677966101,504.8403493295696
15,141,50.87844554902847,1.1,2.653503961134696,50,78.87892542062937,48.04547164845448,184.2943613975943,309.11871192070623,48.19470884020114,127.0736342608305,1.9545283515455205,234.2943613975943
16,142,88.63520408163265,1.1,4.803657818652781,49,379.6806373841688,13.027817649422985,550.0,1421.5100433025027,49.0,428.6806373841688,35.972182350577015,599.0
17,141,66.25700458481921,1.1,3.774370014416143,50,384.74830956403383,24.04810001412624,443.4801596897558,1198.5861604997588,48.232125071059514,432.98043463509333,25.95189998587376,493.4801596897558
18,141,90.49939191243536,1.1,3.6348392840644728,50,55.85320849746798,1.9793454431237905,549.0,948.8547047311886,48.321427540207345,104.17463603767533,48.02065455687621,599.0
19,141,85.23684210526315,1.1,4.518256742138395,50,360.31366049356564,26.414214841286537,433.2195656569538,1270.058077957338,48.25464892100252,408.56830941456815,23.585785158713463,483.2195656569538
20,142,91.76026209288881,1.1,4.572150441883128,49,54.840508107451356,2.2156388768321733,213.4589854932408,425.59631540038305,49.0,103.84050810745136,46.78436112316783,262.4589854932408
21,141,70.52059014267184,1.1,3.6133121518446076,50,94.95745312427594,1.9793538043055605,549.0,808.3098390467412,48.29860574810142,143.25605887237737,48.02064619569444,599.0
22,141,71.0109170305677,1.1,3.771284936813947,50,195.07471091208194,18.440932034276308,527.1384169169385,977.6284283430186,48.31096278003176,243.3856736921137,31.559067965723692,577.1384169169385
23,141,74.67590431738623,1.1,4.764103145057014,50,130.28053846439008,1.9877221003037704,549.0,1112.6737477000966,48.358041756173996,178.63858022056408,48.01227789969623,599.0
24,142,64.39876910016977,1.1,3.656935148477329,49,279.1659440239453,1.0,550.0,1078.454237478044,49.0,328.1659440239453,49.0,599.0
25,141,72.54713313896988,1.1,4.751101793679923,50,253.4019495244444,21.778977142420302,549.0,1375.8272662121067,48.34472367698081,301.7466732014252,28.221022857579698,599.0
26,141,88.34018264840185,1.1,4.632113689814694,50,48.2125250266483,1.9886829881810328,185.7052340555153,373.4883473754942,48.35638356872625,96.56890859537455,48.01131701181897,235.7052340555153
27,141,62.17915853998329,1.1,4.270170415081488,50,423.401963415826,1.9835822608772347,549.0,1589.5009813542688,48.356352324819916,471.7583157406459,48.016417739122765,599.0
28,141,85.48672745694023,1.1,4.792083948639058,50,66.44534181583154,1.9809919869579673,198.76719071279507,430.9196092700005,48.37216724173345,114.81750905756499,48.01900801304203,248.76719071279507
29,142,60.78123324396785,1.1,3.2530236333001037,49,458.21907781171956,12.037823422605534,550.0,1186.2254470390003,49.0,507.21907781171956,36.962176577394466,599.0
30,145,75.0871995528228,1.1,4.176504306526416,52,67.67853424912224,15.479870301746956,547.0,931.3878553721777,48.40563547120829,116.08416972033052,36.520129698253044,599.0
31,141,61.530073800737995,1.1,4.488346082226615,50,550.7574674403892,13.902829154906179,549.0,1979.6574260929017,48.2425325596108,599.0,36.09717084509382,599.0
