Time,timeDelta,FOV1 5 cells 50mW_cell_1,FOV1 5 cells 50mW_cell_2,FOV1 5 cells 50mW_cell_3
2023-04-11 16:12:36,0,2087.0695652173918,2686.9539473684213,2080.639751552795
2023-04-11 16:14:44,2,2141.621739130435,2757.6688596491226,2163.0698757763976
2023-04-11 16:15:18,2,2147.4434782608696,2747.5241228070176,2171.826086956521
2023-04-11 16:16:38,4,2161.121739130435,2744.1929824561403,2173.082298136646
2023-04-11 16:19:45,7,2332.8,2809.155701754386,2233.296583850932
2023-04-11 16:23:40,11,2290.534782608696,2925.6359649122805,2343.793478260869
2023-04-11 16:28:26,15,2338.113043478261,3171.241228070176,2456.743788819876
2023-04-11 16:29:14,16,2352.721739130435,3179.379385964912,2476.723602484472
2023-04-11 16:33:08,20,2390.2521739130434,3350.0065789473683,2579.639751552795
2023-04-11 16:33:27,20,2352.3478260869565,3248.8925438596493,2517.895962732919
