Time,timeDelta,output_cell_1,output_cell_2,output_cell_3,output_cell_4,output_cell_5
2023-04-11 16:12:36,0,1794.2106227106226,2589.301369863014,2064.055474452555,2688.5271149674622,2054.198966408269
2023-04-11 16:14:44,2,1892.467032967033,2658.8647260273974,2146.116788321168,2764.8568329718005,2130.547803617571
2023-04-11 16:15:18,2,1897.4029304029305,2656.7722602739727,2156.2131386861315,2753.9783080260304,2131.5529715762277
2023-04-11 16:16:38,4,1904.2728937728937,2639.253424657534,2157.775182481752,2747.65726681128,2151.9509043927646
2023-04-11 16:19:45,7,1963.1355311355312,2766.675,2213.7664233576643,2823.7895878524946,2290.25322997416
2023-04-11 16:23:40,11,2046.1,2768.025641025641,2308.921167883212,2989.3879668049794,2232.139534883721
2023-04-11 16:28:26,15,2097.117216117216,2912.3327338129498,2395.719402985075,3145.555555555556,2251.710594315245
2023-04-11 16:29:14,16,2091.7051282051284,2904.742805755396,2449.5655976676385,3135.482905982906,2293.855614973262
2023-04-11 16:33:08,20,2175.3498168498168,2849.208904109589,2502.70802919708,3286.0,2319.27135678392
2023-04-11 16:33:27,20,2110.587037037037,2898.2356020942407,2480.1138686131385,3241.511930585684,2268.2583979328165
